Thing,ID,Count,Quotient
Net Zero,RTIC0055,23461599158,1.81
Energy Generation,RTIC0011,10209884271,6.73
Life Sciences,RTIC0078,3016812058,0.65
CleanTech,RTIC0047,2962566817,0.7
Data Infrastructure,RTIC0007,2571740285,0.55
Research and Consulting - Physical Sciences and Engineering,RTIC0070,2489578103,1.05
Advanced Manufacturing,RTIC0065,1969933615,1.01
Energy Management,RTIC0012,1877453783,3.05
Business Support Services,RTIC0069,1877234956,1.48
Electronics Manufacturing,RTIC0067,1792956453,1.28
Modular Construction,RTIC0063,1503531821,7.74
FinTech,RTIC0052,1436376378,0.21
Supply Chain Logistics,RTIC0031,1397973996,0.84
Photonics,RTIC0027,1103978228,3.11
Legal Services,RTIC0076,1092356993,0.55
Agency Market,RTIC0072,854020418,3.18
Software as a Service (SaaS),RTIC0029,804370771,0.83
Digital Creative Industries,RTIC0064,707986761,4.36
Food Tech,RTIC0057,707210556,0.84
Software Development,RTIC0079,676705074,2.59
Telecommunications,RTIC0056,661857987,0.41
Cyber,RTIC0006,589372824,0.12
MedTech,RTIC0058,524109514,0.62
Sensors,RTIC0030,515626400,1.49
Media and Publishing,RTIC0068,481479053,1.22
Land Remediation,RTIC0075,472594020,2.34
Space Economy,RTIC0066,442945651,0.32
Omics,RTIC0026,366415144,1.02
Pharma,RTIC0062,349909686,0.11
Advanced Materials,RTIC0034,333903622,0.21
AgriTech,RTIC0003,205442971,0.88
Energy Storage,RTIC0013,204612621,0.95
Gaming,RTIC0016,170765133,0.48
Artificial Intelligence,RTIC0004,163241242,0.19
Computer Hardware,RTIC0005,163037841,0.44
Rehabilitation,RTIC0073,150315484,1.18
E-Commerce,RTIC0074,134802460,0.75
Geospatial Economy,RTIC0008,132995044,0.55
EdTech,RTIC0010,126004697,0.41
Data Intermediaries,RTIC0077,99185019,0.88
Design and Modelling Technologies,RTIC0059,98855874,0.35
Internet of Things,RTIC0020,79811752,0.13
Immersive Technologies,RTIC0018,73572780,1.65
AdTech,RTIC0001,53609561,0.16
Quantum Economy,RTIC0051,52518000,0.41
Cryptocurrency Economy,RTIC0061,34645000,0.18
Streaming Economy,RTIC0060,28609231,0.09
Wearables and Quantified Self,RTIC0033,12624689,0.08
