Thing,Count,Quotient
68209,12025,1.05
70229,8596,0.93
99999,8051,1.49
82990,7009,0.75
68100,6278,0.9
47910,5221,0.9
96090,5168,0.84
62020,4823,0.8
49410,4570,1.35
86900,4353,1.29
41100,4211,0.99
98000,4077,0.9
68320,3269,0.9
56103,3220,1.24
41202,3048,0.85
74909,2917,0.93
64209,2773,1.04
56302,2523,1.88
47990,2519,1.07
62090,2375,0.75
43210,2306,1.14
96020,2300,0.99
45200,2247,1.19
43999,2237,0.92
74990,2152,1.06
62012,1908,0.72
43220,1873,1.09
43390,1849,0.87
45112,1821,1.49
56101,1820,0.98
56102,1757,1.25
46900,1664,1.17
85590,1649,0.91
69201,1621,0.99
74100,1508,0.91
70100,1408,1.11
43290,1407,1.08
47190,1377,1.05
41201,1330,0.83
71129,1291,0.92
73110,1268,0.88
43320,1264,1.56
64999,1257,0.91
68310,1243,0.93
56210,1206,1.1
47710,1202,1.06
78109,1198,1.12
86210,1187,1.4
32990,1173,1.4
86220,1151,1.14
47110,1118,1.09
56290,1072,0.94
93199,1064,1.06
85600,1036,0.83
90030,966,0.68
42110,928,3.8
71122,899,0.83
81210,842,1.06
93290,831,1.06
70221,824,0.96
78200,810,0.98
71111,794,1.01
86230,761,1.35
81300,758,1
42990,738,0.94
47599,736,1.68
82110,736,1.14
52290,713,0.97
88990,712,0.93
69202,702,0.81
31090,700,2.56
63990,682,0.64
68201,679,1.02
47789,675,1.25
78300,659,1.15
55100,651,1
45320,641,1.39
90010,623,0.79
43910,594,1.08
93130,589,1.18
69102,587,1.28
25990,584,1.64
81299,580,0.94
43341,573,0.86
82920,568,1.15
80100,556,0.94
52103,543,1.01
46190,538,0.72
55209,538,1.31
86101,523,0.9
87300,522,1.18
59112,521,0.65
46420,512,0.83
18129,503,1.43
85510,487,1.1
55900,485,0.98
77110,485,1.34
53202,483,1.13
81222,476,1.1
90020,475,0.76
96040,473,0.92
87200,449,0.92
43330,437,0.99
80200,431,1.19
59200,426,0.58
87900,426,0.92
61900,424,0.83
49320,424,0.8
47290,421,1.07
93120,412,1.11
63110,405,0.65
71121,405,0.91
74901,402,0.94
79110,400,0.88
58190,397,0.7
46180,395,1.02
94990,386,0.83
70210,379,0.71
66190,375,1.04
63120,374,0.6
47640,371,0.97
33190,369,1.34
47530,365,1.78
69203,361,0.79
85100,361,1.1
47730,360,1.61
46499,359,1.42
43310,359,0.99
88910,357,1.16
01500,356,1.21
77390,348,1.26
45190,347,1.27
93110,345,1.27
88100,345,1.09
81100,341,1.04
86102,331,1.09
59113,328,0.57
66220,323,1.03
47760,322,1.12
69109,321,0.96
75000,320,1.51
73120,318,0.7
74202,317,0.99
87100,316,0.99
74902,315,1.04
33120,314,1.55
72190,307,0.8
43342,304,1.03
46410,304,1.54
85200,299,1.15
33200,298,1.46
25110,296,1.47
46160,296,0.84
59111,295,0.41
49390,291,0.92
66290,287,1.81
47770,282,0.96
85520,281,0.84
47240,279,1.11
16230,277,1.01
45310,276,1.17
64205,268,0.74
58290,258,0.61
85310,258,1.11
47750,253,0.79
10890,253,1.2
77320,252,1.35
31030,252,14.49
45111,250,1.27
22290,249,1.54
58110,248,0.65
47220,245,1.33
71200,240,0.8
46740,239,1.61
62030,238,0.85
47890,236,0.96
46690,234,1.18
33140,234,1.08
38110,233,0.96
46470,231,1.72
53201,230,1.35
62011,229,0.66
74209,226,0.86
81221,225,1.28
95110,225,1.04
46342,223,0.83
43120,221,1.03
46520,221,0.9
90040,211,0.97
84120,211,1.01
46150,210,1.19
47540,209,1.36
47250,208,1.09
47421,208,1.22
43991,207,0.88
46390,207,1.08
47510,206,1.17
35110,204,0.54
10710,204,1.08
28990,203,1.56
31020,201,1.77
49420,195,0.75
64922,191,1.04
73200,191,0.81
46320,190,1.37
47820,189,0.82
46130,188,1.26
52219,187,1
47650,186,1.19
46450,185,0.65
47782,181,1.37
96030,180,1.41
01110,180,1.12
94910,179,0.77
61100,179,1
81229,178,0.96
64991,178,0.99
46140,175,1.03
85320,173,0.81
47520,171,1.29
11050,170,1.75
64304,168,0.7
71112,166,1
65120,166,0.81
33170,163,0.95
96010,162,1
46760,161,1.03
25620,160,1.32
47410,157,0.93
45400,156,1.1
46720,156,1.93
47721,155,1.1
79120,155,0.67
64203,155,1.04
64202,154,1.91
14190,154,0.72
27900,153,1.33
46510,145,0.82
46730,145,1.08
39000,144,1
64306,144,1.13
16290,143,1.72
47799,143,1.13
13921,143,2.35
43110,142,1.35
13990,141,1.92
55300,141,1.16
94120,138,0.87
47210,137,0.98
46310,137,0.77
74201,136,0.91
72110,135,0.7
94110,133,0.95
32500,132,1.21
01629,131,1.33
74300,131,0.89
53100,131,1.21
46170,130,0.8
42220,130,0.81
95220,130,1.4
25120,129,1.97
79909,129,0.88
82301,128,0.76
61200,128,0.72
65110,128,1.16
66300,128,0.47
46750,123,1.34
59120,123,0.44
01610,122,1.14
35140,117,0.97
47749,116,1.01
7499,115,1.79
46380,113,0.89
47620,111,1.2
47300,111,1.3
60200,110,0.7
52243,108,1.05
32120,106,0.8
56301,105,1.03
38320,104,1.01
60100,103,1.01
64929,102,1.22
47791,101,1.08
46460,101,0.65
47260,100,1.22
82302,100,0.69
46370,99,0.76
47810,98,0.93
38210,98,1
29320,97,1.07
58142,96,0.73
85530,95,0.91
47429,93,0.94
46770,92,1.19
66110,91,0.8
01430,90,1.1
20590,90,1.66
72200,89,0.68
46480,88,0.69
10130,88,2.25
85410,88,1.04
46439,87,1.23
31010,87,1.62
64303,85,0.45
46341,85,0.85
7487,84,1.31
28290,84,1.74
02400,83,0.93
95240,83,1.06
11010,82,0.95
33110,82,1.29
92000,82,1.08
4521,81,1.37
32300,81,0.99
46220,81,1.26
64301,81,0.58
36000,80,1.16
95120,80,1.58
20420,80,1.23
02100,80,0.86
01490,79,1.1
77120,79,1.27
13100,78,6.4
01621,78,1.51
77291,77,0.95
58210,77,0.58
42120,77,0.4
47610,76,0.9
46610,76,1.16
82200,75,1.01
46120,75,0.97
13300,75,1.43
09100,75,0.48
85422,75,0.71
65300,74,1.39
27400,73,1.45
66120,73,0.62
18130,73,1.12
08990,72,1.62
77210,72,1.08
01450,72,1.68
47430,71,1.22
46330,71,1.06
11070,70,1.21
42910,70,1.18
25610,69,1.46
80300,68,0.86
64191,68,1.21
46620,66,1.5
32409,66,0.99
26511,65,1.19
49319,65,1.18
46719,65,1.49
01470,65,1.23
46110,65,1
82190,64,0.78
35300,64,0.95
20411,63,1.39
84250,63,0.83
84110,62,0.86
95210,62,0.97
01460,62,2.91
64204,62,1.01
7011,61,1.97
47781,61,0.61
77400,61,0.68
91020,61,1.03
18121,60,2.01
64921,60,0.95
14132,59,0.6
51102,59,0.8
47230,58,0.95
29201,58,1.5
13923,58,1.46
17230,57,1.35
30990,57,1.24
84240,56,1.11
01420,56,1.51
13200,56,3.17
64910,56,0.85
47722,55,0.85
01130,55,0.8
06100,54,0.8
23610,54,1.75
37000,53,1.09
10850,52,1.17
46360,52,0.89
50200,52,0.4
08110,52,2.65
26512,51,1.28
21100,51,0.93
28490,51,1.97
01410,50,0.8
51210,50,0.53
46660,50,1.35
23700,48,1.14
29100,48,0.92
63910,48,0.77
85421,47,0.56
14131,47,0.77
49100,47,1.41
10840,47,1.35
91030,47,0.95
69101,46,1.35
46650,46,1.23
97000,45,0.83
79901,45,0.55
10832,45,0.91
10720,45,1.31
4525,44,2.44
77299,44,1.16
95290,43,0.93
46210,43,0.96
93191,43,1.85
17290,42,1.82
46491,42,3.7
10821,42,1.11
66210,42,0.93
35130,42,0.81
47630,41,0.87
26200,40,0.8
22220,40,1.74
17219,40,1.97
28131,39,2.09
59132,39,0.57
27120,39,1.39
20412,39,1.91
28940,38,5.5
10110,38,1.41
33160,38,0.36
10410,38,2.87
10520,37,1.3
81291,37,0.89
13960,37,2.17
20301,37,1.58
68202,37,0.83
02200,37,1.15
26110,36,0.54
26400,36,0.48
64305,36,0.98
16100,36,1.47
38120,36,1.24
28930,36,2.03
78101,36,0.63
03110,36,0.4
95250,35,0.93
24100,35,1.18
18201,35,0.82
47591,35,0.9
93210,35,1.14
77330,34,1.1
09900,34,0.78
28220,34,0.98
99000,34,0.62
55201,34,0.84
46240,34,2.65
77310,33,1.25
10920,33,1.06
82911,33,1.09
33130,33,0.79
15120,33,0.66
28250,33,1.59
46711,33,0.92
01700,33,1.12
2852,32,3.17
14120,32,1.13
29310,32,1.19
46630,32,1.01
98200,31,0.78
64201,31,0.87
47741,30,1.2
23630,30,2.19
22230,30,1.93
13950,30,3.7
52242,30,0.6
15200,30,1.23
61300,30,0.64
06200,30,0.87
35230,30,0.84
91040,30,0.88
84130,29,0.74
42210,29,0.75
17220,29,1.55
13939,29,3.58
25930,29,2.06
91012,29,1.03
16240,29,1.61
28302,28,1.63
28140,28,2.21
46350,28,1.31
52230,28,0.45
33150,28,0.33
21200,28,0.93
42130,27,0.87
17120,27,2.59
22190,27,0.89
27110,27,1.12
10390,27,0.73
49200,26,0.84
01300,26,0.76
32200,25,1.25
01630,25,1.04
3663,24,3.13
7415,24,1.93
10120,24,2.81
46431,24,1.27
13910,24,1.44
98100,24,0.72
58130,24,0.58
25730,23,0.6
24200,23,0.94
18202,23,0.89
9305,23,1.05
74203,23,0.55
10910,23,1.52
38220,22,0.92
59131,22,0.39
46440,22,0.75
23120,22,1.75
4544,21,2.81
25290,21,1.81
59140,21,0.85
18203,21,0.69
20520,21,5.09
10822,21,1.02
27510,21,1.07
10612,21,1.43
23190,21,1.55
03120,21,0.65
46230,21,1.49
20160,20,1.47
91011,20,0.9
43130,20,0.77
51101,20,0.67
10511,20,1.87
2875,19,2.33
23410,19,0.88
50100,19,0.45
81223,19,1.23
52220,19,0.42
50300,19,1.04
10519,19,1.6
10512,19,1.54
35220,18,0.98
28150,18,1.48
29203,18,1.38
52241,18,0.45
14142,18,0.86
2222,18,2.72
23320,18,0.99
20140,18,1.24
5540,17,1.87
4533,17,1.62
26309,17,0.93
20130,17,1.25
35120,17,0.63
23690,17,1.57
14110,17,0.72
5190,17,1.58
4542,16,2.83
18140,16,1.26
25500,16,0.86
64110,16,2.1
13931,16,2.09
84220,16,0.46
52102,16,0.71
2811,15,2.9
10200,15,0.81
55202,15,0.92
20530,15,0.79
84230,15,1.02
20120,15,2.75
5010,15,1.67
4531,14,1.34
64992,14,0.74
01290,14,0.67
28120,14,1.51
30300,14,0.46
23990,14,0.98
77351,14,0.73
22210,14,1.04
30920,14,0.93
27320,14,0.71
01250,14,0.63
58120,14,0.52
9999,13,1.94
03220,13,0.8
38310,13,1.6
58141,13,0.36
03210,13,0.55
30120,13,0.38
28301,13,5.83
25940,13,0.97
46640,13,1.89
23620,13,1.17
65202,13,0.2
10860,13,0.73
22110,13,1.36
28210,13,1.78
95230,13,0.75
6024,12,1.26
16210,12,1.25
10831,12,0.74
7020,12,1.12
59133,12,0.34
01190,12,0.69
10320,12,0.55
25720,12,0.92
11030,12,0.63
52101,12,0.49
94920,12,0.58
23110,12,1.75
20200,11,0.83
24420,11,1.24
77341,11,0.7
35210,11,0.65
5530,11,1.1
11040,11,0.82
24510,11,2.01
24450,10,0.83
28132,10,2.12
65201,10,0.3
15110,10,1.48
26120,10,0.5
26702,10,1.22
19209,10,1.35
26520,10,0.95
29202,10,0.85
28410,10,1.27
7012,9,1.24
30200,9,0.64
17211,9,1.42
08910,9,0.92
5510,9,2.07
28240,9,2.37
5147,9,4.04
26701,9,0.65
4522,9,2.47
28921,9,1.68
10611,9,1.56
20302,9,2.12
4534,9,1.3
25210,9,0.95
28110,9,0.63
26513,9,1.82
7414,9,0.61
2710,8,3.65
1712,8,21.52
30910,8,1.05
23440,8,1.71
23130,8,4.89
13922,8,1.01
32910,8,2.8
7420,8,1.37
6420,8,2.01
10310,8,1.9
5212,7,2.33
3614,7,2.3
26600,7,0.79
4543,7,2.85
4545,7,0.89
3162,7,2.81
01640,7,1.12
7440,7,1.96
14390,7,0.51
64192,7,1.03
25920,7,1.53
2524,7,2.33
11020,7,0.44
52213,7,0.59
5244,7,2.27
25710,7,1.11
20110,7,1.35
4550,7,2.85
49311,7,0.71
24410,6,0.54
24330,6,1.28
3612,6,4.25
24540,6,0.88
84300,6,1.25
7260,6,0.71
14141,6,0.77
23490,6,0.94
5020,6,1.81
28960,6,0.76
32130,6,0.35
19201,6,0.7
18110,6,0.98
23910,6,2.27
7470,5,2.14
3420,5,7.47
2956,5,5.61
23200,5,1.62
1717,5,5.85
26301,5,0.53
24340,5,3.84
20150,5,0.33
2954,5,8.41
6312,5,1.6
6523,5,0.92
2051,5,3.13
23310,5,1.51
14310,5,1.07
4511,5,2.04
94200,5,0.36
3511,5,2.92
08120,5,0.35
20600,5,2.17
24530,5,0.84
50400,5,0.56
30110,5,0.24
2030,5,5.61
27520,5,1.09
12000,5,0.63
28923,4,1.28
01280,4,0.38
5143,4,1.89
28950,4,1.21
3650,4,13.45
7220,4,0.4
05101,4,2.03
2751,4,3.47
23430,4,2.11
25910,4,1.33
7450,4,0.74
64302,4,0.5
1723,4,17.94
05102,4,1.24
23140,4,0.77
13940,4,1.04
26514,4,0.98
5114,4,2.15
5132,4,2.15
49500,4,0.87
2821,4,9.78
01160,4,0.81
5248,4,1.01
7032,4,0.98
25300,4,2.15
7412,4,1.3
24520,4,0.52
5139,3,1.79
3410,3,3.36
2940,3,2.78
2924,3,1.52
3530,3,7.34
3230,3,5.38
1751,3,5.04
2413,3,8.07
01120,3,0.4
5552,3,1.47
01440,3,1
17240,3,0.77
7222,3,0.72
5030,3,1.88
8514,3,1.55
1730,3,3.23
8042,3,1.61
16220,3,0.75
5186,3,3.1
2922,3,1.72
28910,3,1.47
1711,3,13.45
82912,3,0.81
2522,3,13.45
77352,3,1.09
27310,3,1
5245,3,1.58
2861,3,11.53
02300,3,0.81
51220,3,0.44
27200,3,0.26
5119,3,4.75
4532,3,1.35
25400,3,0.73
07290,3,0.16
7481,3,2.99
23520,3,2.12
1581,3,3.51
28230,3,0.82
6512,2,2.24
2661,2,6.73
24310,2,2.56
3613,2,17.94
2745,2,5.98
2742,2,4.14
2744,2,5.98
1110,2,5.98
1598,2,4.14
9262,2,1.68
2862,2,2.15
5181,2,17.94
27330,2,0.44
7210,2,0.84
2873,2,3.84
5118,2,4.48
52211,2,0.98
7484,2,1.63
9231,2,0.63
7134,2,1.86
1010,2,5.98
14200,2,0.83
9272,2,1.02
7482,2,2.99
10730,2,0.59
7411,2,1.1
5261,2,3.17
9261,2,1.58
2112,2,4.14
2416,2,2.83
5142,2,0.77
5263,2,1.49
2466,2,3.17
6340,2,1.42
1754,2,2.83
23510,2,0.9
1822,2,1.92
01210,2,0.23
01240,2,0.23
3520,2,10.76
2955,2,17.94
2121,2,2.07
1740,2,2.99
1721,2,5.38
9000,2,26.9
28922,2,0.65
1584,2,6.73
9302,2,1.31
1771,2,3.84
77342,2,0.37
3150,2,10.76
23640,2,1.79
3110,2,1.92
2872,2,8.97
2214,2,10.76
5134,2,1.28
5157,2,2.99
3615,1,6.73
2741,1,26.9
2666,1,8.97
24320,1,1.03
4523,1,0.96
11060,1,0.61
2470,1,5.38
2320,1,5.38
5170,1,3.84
7310,1,0.79
2640,1,6.73
2414,1,8.97
1752,1,8.97
2722,1,2.69
2651,1,8.97
7110,1,1.68
7121,1,8.97
2753,1,6.73
2754,1,3.36
2874,1,1.92
5185,1,2.69
7430,1,1.79
6110,1,1.68
6603,1,0.79
9301,1,2.24
9002,1,8.97
5151,1,5.38
5243,1,1.17
1821,1,4.48
07100,1,0.21
5115,1,2.99
9233,1,26.9
2513,1,1.92
4512,1,6.73
2125,1,1.92
6412,1,1.79
3320,1,1.22
6322,1,5.38
10420,1,0.9
5231,1,2.24
6330,1,0.63
1421,1,6.73
0201,1,3.84
5156,1,1.22
52212,1,0.22
2626,1,6.73
5241,1,2.99
84210,1,0.12
32401,1,0.08
4541,1,0.61
2912,1,2.07
5117,1,2.99
5247,1,1.42
1571,1,5.38
1513,1,2.07
20510,1,1
1722,1,8.97
2971,1,2.69
2010,1,1.12
01220,1,0.32
5144,1,2.07
5223,1,3.36
1582,1,13.45
24460,1,0.69
6022,1,0.79
2523,1,8.97
20170,1,1.03
3550,1,3.36
32110,1,0.61
8531,1,1.79
5242,1,0.28
3220,1,1.79
19100,1,1.68
5113,1,0.79
9500,1,2.45
5211,1,1
1532,1,26.9
2911,1,2.99
1824,1,1.35
5262,1,26.9
1533,1,1.49
3611,1,0.66
9112,1,1.68
6601,1,0.84
9234,1,0.61
0123,1,8.97
2625,1,1.68
5225,1,1.12
9212,1,4.48
5165,1,13.45
10810,1,0.47
2040,1,2.45
5131,1,3.36
5152,1,3.84
8010,1,2.99
8511,1,2.99
2123,1,1.42
26800,1,0.46
7460,1,0.87
5187,1,13.45
